Season,Team,G_Bat,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR_Bat,W,L,SV,G_Pitch,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR_Pitch,OD,Current,AVG Salary,Median
1990,DET,1816,6224,172,750,714,82,10.2%,15.3%,0.15,0.283,0.259,0.337,0.409,0.335,,109,-8.6,55.7,-37.9,22.5,79,83,45,462,162,1430.1,5.39,4.16,0.97,0.276,71.5%,,,,4.39,,4.49,,6.4,18092238,18092238,476112,155000
1990,HOU,2279,6076,94,573,536,179,9.0%,16.4%,0.103,0.279,0.242,0.313,0.345,0.298,,85,0.8,-104.8,-7,10.5,75,87,37,510,162,1450,5.3,3.08,0.81,0.274,72.9%,,,,3.62,,3.9,,8.5,18830000,18830000,523056,240000
1990,KCR,1754,6099,100,707,660,107,8.2%,14.4%,0.128,0.299,0.267,0.328,0.395,0.325,,102,-5.4,10.3,-75.9,13.5,75,86,33,473,161,1420.2,6.37,3.55,0.73,0.299,71.1%,,,,3.93,,3.73,,13.9,23873745,23873745,596844,300000
1990,LAA,1689,6267,147,690,646,69,9.0%,16.0%,0.131,0.291,0.26,0.329,0.391,0.324,,104,-5.7,19.4,-63.1,16.3,80,82,42,431,162,1454,5.84,3.37,0.66,0.3,70.9%,,,,3.81,,3.66,,20.2,21870000,21870000,591081,410000
1990,LAD,2250,6179,129,728,669,141,8.7%,15.4%,0.121,0.293,0.262,0.328,0.382,0.318,,97,0.1,-19.2,18.3,22.5,86,76,29,501,162,1442,6.37,2.98,0.86,0.278,70.6%,,,,3.74,,3.68,,14.1,21618704,21618704,568913,321250
1990,MIL,1732,6185,128,732,680,164,8.4%,13.3%,0.128,0.277,0.256,0.32,0.384,0.315,,97,2,-16.2,-45.9,14,74,88,42,502,162,1445,4.8,2.92,0.75,0.294,68.8%,,,,4.11,,3.88,,13.6,20019167,20019167,500479,162500
1990,MIN,1804,6086,100,666,625,96,7.3%,12.3%,0.12,0.289,0.265,0.324,0.385,0.319,,94,-4.1,-47.7,-25,12.4,74,88,43,472,162,1435.2,5.47,3.07,0.84,0.298,70.5%,,,,4.14,,3.89,,14.4,15106000,15106000,368439,115000
1990,MON,2254,6189,114,662,607,235,9.3%,16.5%,0.12,0.286,0.25,0.322,0.37,0.311,,90,5.6,-65.7,16.9,17.5,85,77,50,503,162,1473.1,6.05,3.12,0.78,0.271,75.6%,,,,3.37,,3.7,,14.5,16656388,16656388,489894,296250
1990,NYM,2107,6182,172,775,734,110,8.7%,13.8%,0.152,0.273,0.256,0.323,0.408,0.325,,103,6.7,30,4.9,26.4,91,71,41,430,162,1440,7.61,2.78,0.74,0.29,72.8%,,,,3.43,,3.17,,24.4,22418834,22418834,574842,155000
1990,NYY,1821,6037,147,603,561,119,7.1%,17.0%,0.125,0.27,0.241,0.3,0.366,0.3,,85,3.8,-101.5,11.2,10.1,67,95,41,504,162,1444.2,5.66,3.85,0.9,0.284,70.8%,,,,4.23,,4.18,,10.7,20991318,20991318,617392,437500
1990,OAK,1891,6240,164,733,693,141,10.4%,15.9%,0.137,0.281,0.254,0.336,0.391,0.329,,109,4.3,70.6,85,36.4,103,59,64,465,162,1456,5.14,3.05,0.76,0.256,75.7%,,,,3.18,,3.84,,14.5,19987501,19987501,555208,272500
